Datum,min,max
17/12/2016,-11.6,-2.3
18/12/2016,-12.5,-2.3
19/12/2016,-4.8,1.1
20/12/2016,-1.8,4.7
21/12/2016,-3.1,1.1
22/12/2016,-3,0.2
23/12/2016,-15.2,-2.2
24/12/2016,-21.6,-3.1
25/12/2016,-11.4,-3.3
26/12/2016,-12.7,-5.8
27/12/2016,-14.9,-4
28/12/2016,-14.8,-1.8
29/12/2016,-8.7,1.4
30/12/2016,-10.8,3
31/12/2016,-15.2,0.8
01/01/2017,-18.6,-6.8
02/01/2017,-13.4,-6.4
03/01/2017,-18.1,-11.3
04/01/2017,-38.2,-15.1
05/01/2017,-38.5,-27.6
06/01/2017,-36.1,-7.3
07/01/2017,-15.8,-0.6
08/01/2017,-13.1,-0.1
09/01/2017,-14,2.1
10/01/2017,-16.7,-7.8
11/01/2017,-7.8,0.4
12/01/2017,-6.9,0.3
13/01/2017,-6.8,-3.8
14/01/2017,-17.6,-5.8
15/01/2017,-22.7,-10.4
16/01/2017,-24.1,-6.3
17/01/2017,-24.9,-5.1
18/01/2017,-8.3,1.5
19/01/2017,-5.3,3.9
20/01/2017,-12.2,-5.1
21/01/2017,-9.7,-5
22/01/2017,-16.2,-5.5
23/01/2017,-11.2,-6.5
24/01/2017,-25.4,-8.5
25/01/2017,-25,1.7
26/01/2017,-4,2.1
27/01/2017,-5.2,4.5
28/01/2017,-19.1,0.9
29/01/2017,-18.8,-0.9
30/01/2017,-4.9,-0.6
31/01/2017,-17.9,-3.6
01/02/2017,-13.7,-4.3
02/02/2017,-10.8,-6
03/02/2017,-6.2,-5
04/02/2017,-5.2,-4
05/02/2017,-5.1,-3.6
06/02/2017,-6.6,-4.7
07/02/2017,-21.2,-6.6
08/02/2017,-27.2,-17.7
09/02/2017,-24.6,-15.5
10/02/2017,-18.8,-4.6
11/02/2017,-25,-5.8
12/02/2017,-25.4,1.4
13/02/2017,-4.1,8.7
14/02/2017,-2.4,6.8
15/02/2017,-4.1,0.6
16/02/2017,-15.8,-2.2
17/02/2017,-8.9,-0.9
18/02/2017,-20,-1.9
19/02/2017,-23.7,-12.8
20/02/2017,-25.6,-13
21/02/2017,-23.9,-8.7
22/02/2017,-26.2,-8.1
23/02/2017,-12,-8.8
24/02/2017,-12.5,-9.6
25/02/2017,-12.3,-3.6
26/02/2017,-28.5,-6.2
27/02/2017,-26.4,-9.3
28/02/2017,-17.1,-7.6
01/03/2017,-7.8,-4.9
02/03/2017,-13.5,-3.7
03/03/2017,-23.3,-2.5
04/03/2017,-10.7,-3.1
05/03/2017,-18.6,-2.3
06/03/2017,-25.6,-5.2
07/03/2017,-28.9,-1
08/03/2017,-26.3,-5.5
09/03/2017,-7.2,-2
10/03/2017,-24.1,-2.6
11/03/2017,-17,0.1
12/03/2017,-12.4,2.1
13/03/2017,-4.7,-0.5
14/03/2017,-1,1.8
15/03/2017,-0.9,4.4
16/03/2017,-2.4,3.9
17/03/2017,-4.8,1.4
18/03/2017,-5.6,0
19/03/2017,-20.6,-0.6
20/03/2017,-16.6,0.8
21/03/2017,-6.6,1.1
22/03/2017,-1.2,1.5
23/03/2017,-5.1,1.3
24/03/2017,-7.7,2
25/03/2017,-13.5,5.9
26/03/2017,-1.3,6.1
27/03/2017,-3.8,1.6
28/03/2017,-9,-1.1
29/03/2017,-20.4,-1
30/03/2017,-23.2,1
31/03/2017,-23.8,1.3
01/04/2017,-9.3,1.7
02/04/2017,-11.6,1.5
03/04/2017,-15.3,2.9
04/04/2017,1.7,8.4
05/04/2017,-1.3,6.9
06/04/2017,-9.1,3.9
07/04/2017,-6.6,0.3
08/04/2017,-18.8,1.4
09/04/2017,-11.8,-0.9
10/04/2017,-2.4,0.3
11/04/2017,-4.2,0.2
12/04/2017,-7.2,-0.3
13/04/2017,-8.6,-2.5
14/04/2017,-10.4,-0.9
15/04/2017,-5.7,-0.6
16/04/2017,-13.4,-0.4
17/04/2017,-18.1,1.2
18/04/2017,-19.5,3.2
19/04/2017,-8.7,4.6
20/04/2017,-4.9,3.5
21/04/2017,-10.1,4.2
22/04/2017,-1,4.3
23/04/2017,-1.2,2.1
24/04/2017,-6.8,4.2
25/04/2017,-5,4.5
26/04/2017,-5.4,4.3
27/04/2017,-2.3,3.7
28/04/2017,-4.4,6.4
29/04/2017,-10.5,6.4
30/04/2017,-2.6,5.1
01/05/2017,-0.7,7.5
02/05/2017,2.8,5.9
03/05/2017,0.7,4.6
04/05/2017,-5.2,9.5
05/05/2017,4.7,10.6
06/05/2017,-0.3,6.6
07/05/2017,-3.8,2
08/05/2017,-5.6,1.2
09/05/2017,-3.8,2.7
10/05/2017,-1.8,2.9
11/05/2017,-3.6,2.2
12/05/2017,-4.2,3.4
13/05/2017,-4.7,4.1
14/05/2017,-6.6,5.3
15/05/2017,-7.3,7.6
16/05/2017,-6.5,9
17/05/2017,-1.5,12.2
18/05/2017,-0.7,14.9
19/05/2017,3.7,10.1
20/05/2017,3,11
21/05/2017,-0.1,13.1
22/05/2017,3,13.3
23/05/2017,2.5,10.7
24/05/2017,-4.2,14.1
25/05/2017,3.3,15.2
26/05/2017,0.6,9.4
27/05/2017,-2,7.4
28/05/2017,-2.8,5.5
29/05/2017,-0.9,7.7
30/05/2017,-4.4,9.9
31/05/2017,0.6,7.5
01/06/2017,-0.1,8
02/06/2017,0.6,6.7
03/06/2017,2.1,8.3
04/06/2017,2,7.2
05/06/2017,2.7,14.3
06/06/2017,5.7,16.2
07/06/2017,3.7,21.8
08/06/2017,4.5,24.4
09/06/2017,6.6,24
10/06/2017,10,23.5
11/06/2017,8.5,21
12/06/2017,9,17.9
13/06/2017,7.5,17.7
14/06/2017,-0.2,20.3
15/06/2017,2,20.7
