Datum,precip_mm
04/05/2015,0
05/05/2015,0
06/05/2015,0.4
07/05/2015,0
08/05/2015,11.1
09/05/2015,10.8
10/05/2015,0
11/05/2015,1
12/05/2015,5.4
13/05/2015,9.1
14/05/2015,11.2
15/05/2015,0
16/05/2015,0.7
17/05/2015,0
18/05/2015,0.7
19/05/2015,2.4
20/05/2015,2
21/05/2015,1.7
22/05/2015,3.8
23/05/2015,22.6
24/05/2015,0.4
25/05/2015,0
26/05/2015,0.3
27/05/2015,9.7
28/05/2015,2.9
29/05/2015,0.1
30/05/2015,0.9
31/05/2015,6.1
01/06/2015,0.5
02/06/2015,0.6
03/06/2015,1.7
04/06/2015,0
05/06/2015,0
06/06/2015,12.6
07/06/2015,1.6
08/06/2015,0.3
09/06/2015,0
10/06/2015,0.2
11/06/2015,1.4
12/06/2015,0
13/06/2015,0
14/06/2015,0.1
15/06/2015,2.2
16/06/2015,2.6
17/06/2015,0.2
18/06/2015,1.2
19/06/2015,0
20/06/2015,0
21/06/2015,0
22/06/2015,3.2
23/06/2015,4.2
24/06/2015,7.6
25/06/2015,1
26/06/2015,1
27/06/2015,0
28/06/2015,0
29/06/2015,0
30/06/2015,0
01/07/2015,0
02/07/2015,2.7
03/07/2015,0.8
04/07/2015,0.3
05/07/2015,0.1
06/07/2015,12.1
07/07/2015,8.1
08/07/2015,1
09/07/2015,0.8
10/07/2015,0
11/07/2015,0
12/07/2015,0
13/07/2015,0
14/07/2015,0
15/07/2015,0
16/07/2015,0
17/07/2015,0.2
18/07/2015,0.8
19/07/2015,2.3
20/07/2015,0.5
21/07/2015,0.7
22/07/2015,0
23/07/2015,0
24/07/2015,0
25/07/2015,3.2
26/07/2015,12.4
27/07/2015,1.3
28/07/2015,1.5
29/07/2015,6.3
30/07/2015,0
31/07/2015,0.2
01/08/2015,2.2
02/08/2015,0.2
03/08/2015,0.3
04/08/2015,0
05/08/2015,0.3
06/08/2015,5.5
07/08/2015,0.1
08/08/2015,4.6
09/08/2015,0.6
10/08/2015,0
11/08/2015,3.5
12/08/2015,0
13/08/2015,0
14/08/2015,0
15/08/2015,0.3
16/08/2015,0
17/08/2015,0
18/08/2015,0
19/08/2015,0
20/08/2015,0
21/08/2015,0
22/08/2015,0
23/08/2015,0
24/08/2015,1.4
25/08/2015,0
26/08/2015,0
27/08/2015,0.4
28/08/2015,21.9
29/08/2015,0.1
30/08/2015,0
31/08/2015,0.2
01/09/2015,0
02/09/2015,0
03/09/2015,0
04/09/2015,0.1
05/09/2015,0
06/09/2015,0
07/09/2015,0
08/09/2015,0
09/09/2015,0
10/09/2015,0.1
11/09/2015,0.1
12/09/2015,0
13/09/2015,0
14/09/2015,0
15/09/2015,0
16/09/2015,0.2
17/09/2015,1.8
18/09/2015,25.2
19/09/2015,6.3
20/09/2015,0.2
21/09/2015,1.3
22/09/2015,16.4
23/09/2015,4.2
24/09/2015,0
25/09/2015,2.6
26/09/2015,0.5
27/09/2015,0.2
28/09/2015,0
29/09/2015,0.7
30/09/2015,0
01/10/2015,0.3
02/10/2015,3.7
03/10/2015,0.8
04/10/2015,0.1
05/10/2015,0
06/10/2015,0
07/10/2015,0
08/10/2015,0
09/10/2015,0
10/10/2015,0
11/10/2015,0
12/10/2015,0
13/10/2015,0.1
14/10/2015,0.1
15/10/2015,0
16/10/2015,0
17/10/2015,0.3
18/10/2015,0.2
19/10/2015,0.2
20/10/2015,0.4
21/10/2015,2.9
22/10/2015,1.6
23/10/2015,0.2
24/10/2015,0.8
25/10/2015,2.3
26/10/2015,0.7
27/10/2015,0
28/10/2015,0
29/10/2015,0
30/10/2015,0.2
31/10/2015,0.5
01/11/2015,0
02/11/2015,0
03/11/2015,0
04/11/2015,0.1
05/11/2015,0
06/11/2015,5.8
07/11/2015,6.9
08/11/2015,0.9
09/11/2015,5.9
10/11/2015,7.2
11/11/2015,5
12/11/2015,0.8
13/11/2015,1.4
14/11/2015,8.6
15/11/2015,0.8
16/11/2015,0.4
17/11/2015,3.5
18/11/2015,3.3
19/11/2015,0.8
20/11/2015,0.2
21/11/2015,0.1
22/11/2015,0
23/11/2015,0
24/11/2015,0.4
25/11/2015,1.8
26/11/2015,6.1
27/11/2015,0
28/11/2015,0.1
29/11/2015,1.3
30/11/2015,4.1
01/12/2015,1.5
02/12/2015,0.1
03/12/2015,0
04/12/2015,0
05/12/2015,2.7
06/12/2015,0
07/12/2015,0
08/12/2015,0.7
09/12/2015,2.5
10/12/2015,0
11/12/2015,1.6
12/12/2015,1.1
13/12/2015,0.1
14/12/2015,0.1
15/12/2015,0
16/12/2015,0.1
17/12/2015,3.7
18/12/2015,4.7
19/12/2015,3
20/12/2015,0.1
21/12/2015,1.6
22/12/2015,0
23/12/2015,3
24/12/2015,0.2
25/12/2015,5
26/12/2015,0
27/12/2015,0
28/12/2015,0
29/12/2015,0
30/12/2015,0.1
31/12/2015,0.1
01/01/2016,0
02/01/2016,0
03/01/2016,0.3
04/01/2016,0.1
05/01/2016,0.2
06/01/2016,0
07/01/2016,0.6
08/01/2016,1.3
09/01/2016,0.3
10/01/2016,0.2
11/01/2016,0.3
12/01/2016,0.2
13/01/2016,0
14/01/2016,0.7
15/01/2016,0.3
16/01/2016,2.3
17/01/2016,0.2
18/01/2016,0.7
19/01/2016,0
20/01/2016,0
21/01/2016,0
22/01/2016,0
23/01/2016,0
24/01/2016,1
25/01/2016,2.4
26/01/2016,7.3
27/01/2016,0.8
28/01/2016,0
29/01/2016,1.5
30/01/2016,3.9
31/01/2016,2.1
01/02/2016,0
02/02/2016,0.3
03/02/2016,0
04/02/2016,1
05/02/2016,0
06/02/2016,6
07/02/2016,4.3
08/02/2016,1.6
09/02/2016,3.5
10/02/2016,7.9
11/02/2016,2.4
12/02/2016,11.4
13/02/2016,1.9
14/02/2016,1.9
15/02/2016,0.1
16/02/2016,0
17/02/2016,0
18/02/2016,0.2
19/02/2016,0.1
20/02/2016,1.1
21/02/2016,1.3
22/02/2016,1.4
23/02/2016,2.6
24/02/2016,1
25/02/2016,1.1
26/02/2016,0.3
27/02/2016,0
28/02/2016,0
29/02/2016,0
01/03/2016,0
02/03/2016,0.1
03/03/2016,0.1
04/03/2016,0.4
05/03/2016,0.7
06/03/2016,1.6
07/03/2016,3.6
08/03/2016,0.8
09/03/2016,1.2
10/03/2016,0
11/03/2016,0.1
12/03/2016,0
13/03/2016,0
14/03/2016,0
15/03/2016,0
16/03/2016,0.1
17/03/2016,0.5
18/03/2016,0
19/03/2016,0
20/03/2016,0
21/03/2016,0
