Datum,precip_mm
01/02/2012,0
02/02/2012,0.4
03/02/2012,0.1
04/02/2012,0
05/02/2012,0.5
06/02/2012,0
07/02/2012,0
08/02/2012,0
09/02/2012,0.6
10/02/2012,0
11/02/2012,0
12/02/2012,0
13/02/2012,2.7
14/02/2012,3.5
15/02/2012,0.3
16/02/2012,1
17/02/2012,0
18/02/2012,2.8
19/02/2012,3.9
20/02/2012,2
21/02/2012,0
22/02/2012,1.5
23/02/2012,0.4
24/02/2012,1.9
25/02/2012,0
26/02/2012,0
27/02/2012,3.1
28/02/2012,0.2
29/02/2012,0
01/03/2012,1.7
02/03/2012,0
03/03/2012,0
04/03/2012,0.2
05/03/2012,0
06/03/2012,0
07/03/2012,0.1
08/03/2012,0.1
09/03/2012,0.2
10/03/2012,0.1
11/03/2012,0.8
12/03/2012,1.6
13/03/2012,0
14/03/2012,0.1
15/03/2012,0.3
16/03/2012,0
17/03/2012,0
18/03/2012,0
19/03/2012,0
20/03/2012,0
21/03/2012,1.6
22/03/2012,0.2
23/03/2012,0
24/03/2012,0
25/03/2012,0.7
26/03/2012,12
27/03/2012,0.6
28/03/2012,1.5
29/03/2012,0.1
30/03/2012,0
31/03/2012,0.2
01/04/2012,0
02/04/2012,0.3
03/04/2012,0.1
04/04/2012,0
05/04/2012,0
06/04/2012,0
07/04/2012,0
08/04/2012,0
09/04/2012,0.1
10/04/2012,3.6
11/04/2012,3.1
12/04/2012,1
13/04/2012,0
14/04/2012,0
15/04/2012,0.2
16/04/2012,0
17/04/2012,0
18/04/2012,0
19/04/2012,0
20/04/2012,0
21/04/2012,2.3
22/04/2012,1.1
23/04/2012,2.1
24/04/2012,1.3
25/04/2012,0
26/04/2012,0.2
27/04/2012,4
28/04/2012,0
29/04/2012,0
30/04/2012,0
01/05/2012,0.1
02/05/2012,0.6
03/05/2012,0
04/05/2012,0
05/05/2012,4.6
06/05/2012,5.1
07/05/2012,0
08/05/2012,0
09/05/2012,0.6
10/05/2012,0
11/05/2012,0
12/05/2012,0.1
13/05/2012,0
14/05/2012,4.2
15/05/2012,0
16/05/2012,0
17/05/2012,4.6
18/05/2012,16.9
19/05/2012,0
20/05/2012,0
21/05/2012,0
22/05/2012,0
23/05/2012,0
24/05/2012,5.6
25/05/2012,0
26/05/2012,0.1
27/05/2012,0
28/05/2012,0
29/05/2012,0.2
30/05/2012,0.9
31/05/2012,0.1
01/06/2012,5.2
02/06/2012,0.1
03/06/2012,0
04/06/2012,0
05/06/2012,0.2
06/06/2012,0
07/06/2012,0.4
08/06/2012,0
09/06/2012,0
10/06/2012,1.5
11/06/2012,0.6
12/06/2012,6.6
13/06/2012,0
14/06/2012,0
15/06/2012,0.1
16/06/2012,0
17/06/2012,5.3
18/06/2012,9.6
19/06/2012,9.2
20/06/2012,4.5
21/06/2012,0
22/06/2012,0
23/06/2012,0
24/06/2012,0
25/06/2012,1.9
26/06/2012,0
27/06/2012,0
28/06/2012,0
29/06/2012,0.1
30/06/2012,2.8
01/07/2012,0.1
02/07/2012,9
03/07/2012,0.2
04/07/2012,0
